TIPO	COD_VER_EXEC	COD_BASE	TOTAL_TIME
a	1	1	118.85
a	1	2	126.69
a	1	3	128.21
a	1	4	136.63
a	1	5	126.99
a	1	6	117.32
a	1	7	116.36
a	1	8	123.54
b	2	1	26.54
b	2	2	21.29
b	2	3	23.13
b	2	4	18.89
b	2	5	26.33
b	2	6	24.74
b	2	7	25.77
b	2	8	26.4
b	3	1	27.01
b	3	2	25.98
b	3	3	27.04
b	3	4	26.28
b	3	5	26.1
b	3	6	26.02
b	3	7	25.86
b	3	8	26.1
b	4	1	32.91
b	4	2	30.75
b	4	3	31.96
b	4	4	31.06
b	4	5	31.35
b	4	6	30.66
b	4	7	30.77
b	4	8	31.46
b	5	1	38.76
b	5	2	37.81
b	5	3	38.74
b	5	4	35.86
b	5	5	38.23
b	5	6	35.74
b	5	7	37.15
b	5	8	35.21
b	6	1	42.76
b	6	2	42.84
b	6	3	43.59
b	6	4	42.55
b	6	5	42.76
b	6	6	41.63
b	6	7	42.21
b	6	8	42.54
b	7	1	49.15
b	7	2	46.12
b	7	3	45.22
b	7	4	46.98
b	7	5	45.28
b	7	6	44.25
b	7	7	44.2
b	7	8	45.1
b	8	1	53.27
b	8	2	49.98
b	8	3	45.92
b	8	4	47.92
b	8	5	48.2
b	8	6	45.64
b	8	7	44.57
b	8	8	44.9
b	9	1	57.06
b	9	2	48.96
b	9	3	51.84
b	9	4	49.38
b	9	5	45
b	9	6	45.18
b	9	7	48.53
b	9	8	48.83
b	10	1	56.25
b	10	2	49.33
b	10	3	51.01
b	10	4	52.97
b	10	5	49.09
b	10	6	48.15
b	10	7	49.41
b	10	8	47.99
b	11	1	73.37
b	11	2	52.29
b	11	3	54.25
b	11	4	52.34
b	11	5	51.51
b	11	6	52.34
b	11	7	52.23
b	11	8	52.12
b	12	1	79.9
b	12	2	63.63
b	12	3	56.86
b	12	4	56.37
b	12	5	55.83
b	12	6	56.03
b	12	7	55.72
b	12	8	55.17
b	13	1	79.31
b	13	2	61.44
b	13	3	60.05
b	13	4	58.48
b	13	5	59.59
b	13	6	59.06
b	13	7	59.06
b	13	8	59.19
b	14	1	71.75
b	14	2	63.17
b	14	3	62.87
b	14	4	62.88
b	14	5	62.35
b	14	6	63.08
b	14	7	62.32
b	14	8	63.2
b	15	1	76.5
b	15	2	65.18
b	15	3	66.28
b	15	4	65.41
b	15	5	65.67
b	15	6	64.53
b	15	7	65.2
b	15	8	65.97
b	16	1	81.05
b	16	2	70.74
b	16	3	71.45
b	16	4	71.46
b	16	5	70.71
b	16	6	70.95
b	16	7	70.18
b	16	8	73.03
b	17	1	84.58
b	17	2	75.55
b	17	3	74.6
b	17	4	74.58
b	17	5	75.46
b	17	6	74.7
b	17	7	73.48
b	17	8	75.12
b	18	1	91.26
b	18	2	81.58
b	18	3	80.38
b	18	4	78.97
b	18	5	78.07
b	18	6	78.47
b	18	7	78.18
b	18	8	78.39
b	19	1	96.75
b	19	2	83.2
b	19	3	85.41
b	19	4	81.91
b	19	5	82.4
b	19	6	83.61
b	19	7	82.95
b	19	8	81.8
b	20	1	100.54
b	20	2	89.91
b	20	3	87.8
b	20	4	88.38
b	20	5	87.42
b	20	6	88.65
b	20	7	87.34
b	20	8	88.21
b	21	1	104.69
b	21	2	94.29
b	21	3	93.31
b	21	4	93.82
b	21	5	97.8
b	21	6	95.73
b	21	7	91.48
b	21	8	92.65
c	2	1	20.57
c	2	2	23.01
c	2	3	22.72
c	2	4	20.68
c	2	5	22.2
c	2	6	22.52
c	2	7	21.61
c	2	8	23.98
c	3	1	21.87
c	3	2	22.9
c	3	3	20.68
c	3	4	18.66
c	3	5	20.41
c	3	6	21.03
c	3	7	20.25
c	3	8	21.44
c	4	1	21.33
c	4	2	22.87
c	4	3	20.88
c	4	4	18.89
c	4	5	20.54
c	4	6	20.75
c	4	7	20.14
c	4	8	21.86
c	5	1	21.19
c	5	2	22.59
c	5	3	21.1
c	5	4	21.02
c	5	5	20.88
c	5	6	20.88
c	5	7	20.41
c	5	8	22.17
c	6	1	27.17
c	6	2	23.86
c	6	3	21.29
c	6	4	19.37
c	6	5	20.91
c	6	6	21.57
c	6	7	20.56
c	6	8	22.11
c	7	1	26.37
c	7	2	23.35
c	7	3	21.53
c	7	4	21.44
c	7	5	21.74
c	7	6	21.59
c	7	7	20.84
c	7	8	22.94
c	8	1	24.24
c	8	2	23.73
c	8	3	20.39
c	8	4	21.61
c	8	5	21.34
c	8	6	21.82
c	8	7	19.29
c	8	8	22.92
c	9	1	25.51
c	9	2	24.33
c	9	3	22.23
c	9	4	21.85
c	9	5	21.65
c	9	6	22.09
c	9	7	21.41
c	9	8	23.95
c	10	1	24.54
c	10	2	21.34
c	10	3	20.51
c	10	4	20.57
c	10	5	21.73
c	10	6	22.25
c	10	7	19.64
c	10	8	23.54
c	11	1	26.67
c	11	2	24.61
c	11	3	28.08
c	11	4	25.02
c	11	5	22.29
c	11	6	20.61
c	11	7	21.65
c	11	8	25.64
c	12	1	24.33
c	12	2	25.1
c	12	3	28.89
c	12	4	24.38
c	12	5	25.75
c	12	6	24.29
c	12	7	22.05
c	12	8	28.45
c	13	1	24.69
c	13	2	24.23
c	13	3	29.16
c	13	4	28.12
c	13	5	27.41
c	13	6	26.3
c	13	7	26.67
c	13	8	28.98
c	14	1	26.05
c	14	2	26.99
c	14	3	26.81
c	14	4	30.63
c	14	5	25.32
c	14	6	26.22
c	14	7	27
c	14	8	28.96
c	15	1	21.09
c	15	2	27.53
c	15	3	25.31
c	15	4	26.83
c	15	5	26.87
c	15	6	24.73
c	15	7	30.28
c	15	8	29.43
c	16	1	23.43
c	16	2	21.7
c	16	3	21.54
c	16	4	23.08
c	16	5	21.77
c	16	6	21.29
c	16	7	25.77
c	16	8	25.02
c	17	1	23.46
c	17	2	21.99
c	17	3	23.61
c	17	4	23.82
c	17	5	22.08
c	17	6	21.71
c	17	7	23.54
c	17	8	26.47
c	18	1	22.19
c	18	2	22.4
c	18	3	23.92
c	18	4	22.17
c	18	5	23.82
c	18	6	21.48
c	18	7	23.02
c	18	8	27.12
c	19	1	22.38
c	19	2	22.43
c	19	3	22.88
c	19	4	22.41
c	19	5	22.42
c	19	6	22.62
c	19	7	23.37
c	19	8	29.94
c	20	1	23.1
c	20	2	24.46
c	20	3	24.24
c	20	4	23.88
c	20	5	23.87
c	20	6	22.86
c	20	7	25.17
c	20	8	28.03
c	21	1	22.41
c	21	2	24.04
c	21	3	24.61
c	21	4	24.84
c	21	5	22.38
c	21	6	22.05
c	21	7	23.38
c	21	8	26.4
d	2	1	26.46
d	2	2	27.59
d	2	3	27.35
d	2	4	24.84
d	2	5	26.74
d	2	6	27.22
d	2	7	26.15
d	2	8	26.87
d	3	1	32.71
d	3	2	31.14
d	3	3	32.57
d	3	4	33.47
d	3	5	31.5
d	3	6	32.62
d	3	7	31.12
d	3	8	30.58
d	4	1	36.65
d	4	2	35.87
d	4	3	36.45
d	4	4	39.13
d	4	5	36.5
d	4	6	37.2
d	4	7	35.59
d	4	8	36.33
d	5	1	40.84
d	5	2	39.54
d	5	3	38.64
d	5	4	44.04
d	5	5	40.98
d	5	6	42.75
d	5	7	40.06
d	5	8	40.41
d	6	1	44.87
d	6	2	45.59
d	6	3	42.37
d	6	4	45.96
d	6	5	45.75
d	6	6	45.95
d	6	7	44.65
d	6	8	46.84
d	7	1	47.06
d	7	2	47.31
d	7	3	45.61
d	7	4	49.45
d	7	5	48.69
d	7	6	48.94
d	7	7	47.24
d	7	8	48.19
d	8	1	53.22
d	8	2	50.16
d	8	3	52.81
d	8	4	54.57
d	8	5	52.89
d	8	6	51.94
d	8	7	50.23
d	8	8	50.74
d	9	1	57.14
d	9	2	55.04
d	9	3	56.79
d	9	4	54.97
d	9	5	56.28
d	9	6	56.36
d	9	7	54.04
d	9	8	56.5
d	10	1	57.63
d	10	2	53.75
d	10	3	54.11
d	10	4	59.27
d	10	5	54.28
d	10	6	56.55
d	10	7	53.76
d	10	8	54.39
d	11	1	60.06
d	11	2	59.6
d	11	3	58.71
d	11	4	57.96
d	11	5	59.08
d	11	6	60.69
d	11	7	58.01
d	11	8	59.26
d	12	1	61.63
d	12	2	64.8
d	12	3	63.01
d	12	4	62.38
d	12	5	64.44
d	12	6	63.23
d	12	7	62.3
d	12	8	64.02
d	13	1	68.26
d	13	2	67.48
d	13	3	68.05
d	13	4	66.84
d	13	5	69.45
d	13	6	67.06
d	13	7	66.99
d	13	8	67.9
d	14	1	70.74
d	14	2	69.92
d	14	3	74.15
d	14	4	71.68
d	14	5	73.23
d	14	6	71.87
d	14	7	71.3
d	14	8	70.55
d	15	1	78.94
d	15	2	73.73
d	15	3	78.3
d	15	4	77.54
d	15	5	77.79
d	15	6	75.8
d	15	7	78.55
d	15	8	73.34
d	16	1	81.5
d	16	2	78.12
d	16	3	81.3
d	16	4	80.56
d	16	5	82.9
d	16	6	79.8
d	16	7	80.73
d	16	8	83.14
d	17	1	83.83
d	17	2	81.71
d	17	3	90.05
d	17	4	86.35
d	17	5	87.74
d	17	6	90.48
d	17	7	85.83
d	17	8	88.19
d	18	1	89.76
d	18	2	88.58
d	18	3	92.16
d	18	4	90.39
d	18	5	93.9
d	18	6	89.86
d	18	7	91.01
d	18	8	93.59
d	19	1	94.39
d	19	2	107.92
d	19	3	97.59
d	19	4	96.13
d	19	5	97.42
d	19	6	95.05
d	19	7	94.28
d	19	8	98.89
d	20	1	98.77
d	20	2	113.14
d	20	3	102.28
d	20	4	100.59
d	20	5	103.11
d	20	6	99.45
d	20	7	97.84
d	20	8	103.8
d	21	1	106.79
d	21	2	121.11
d	21	3	107.84
d	21	4	109.17
d	21	5	107.15
d	21	6	104.77
d	21	7	102.52
d	21	8	108.95
e	1	1	78.77
e	1	2	77.85
e	1	3	89.8
e	1	4	85.7
e	1	5	79.77
e	1	6	81.33
e	1	8	81.42
e	2	1	84.87
e	2	2	83.1
e	2	3	94.03
e	2	4	88.58
e	2	5	85.42
e	2	6	87.44
e	2	8	86.61
e	3	1	93.89
e	3	2	90.58
e	3	3	106.14
e	3	4	95.36
e	3	5	93.56
e	3	6	95.14
e	3	8	95.07
e	4	1	105.36
e	4	2	98.59
e	4	3	113.99
e	4	4	102.04
e	4	5	102.92
e	4	6	104.35
e	4	8	104.67
e	5	1	106.3
e	5	2	104.54
e	5	3	122.61
e	5	4	107.89
e	5	5	107.65
e	5	6	108.19
e	5	8	108.26
e	6	1	132.87
e	6	2	116.32
e	6	3	129.71
e	6	4	126.37
e	6	5	113.21
e	6	6	118.32
e	6	8	115.68
e	7	1	114.23
e	7	2	119.48
e	7	3	137.96
e	7	4	121.61
e	7	5	117.65
e	7	6	120.66
e	7	8	120.8
e	8	1	117.64
e	8	2	129.55
e	8	3	139.43
e	8	4	120.29
e	8	5	122.66
e	8	6	126.64
e	8	8	124.08
e	9	1	126.61
e	9	2	135.6
e	9	3	143.9
e	9	4	126.18
e	9	5	127.24
e	9	6	128.15
e	9	8	129.78
e	10	1	122.67
e	10	2	132.41
e	10	3	146.84
e	10	4	130.99
e	10	5	129.72
e	10	6	130.07
e	10	8	133.56
e	11	1	129.73
e	11	2	139.55
e	11	3	153.32
e	11	4	135.54
e	11	5	136.49
e	11	6	138.8
e	11	8	136.17
e	12	1	133.19
e	12	2	139.81
e	12	3	150.03
e	12	4	137.05
e	12	5	137.8
e	12	6	143.29
e	12	8	140.99
e	13	1	138.11
e	13	2	146.9
e	13	3	160.13
e	13	4	141.26
e	13	5	141.69
e	13	6	150.82
e	13	8	148.06
e	14	1	143.27
e	14	2	153.26
e	14	3	158.59
e	14	4	147.75
e	14	5	147.5
e	14	6	150.79
e	14	8	151.48
e	15	1	150.58
e	15	2	169.49
e	15	3	163.58
e	15	4	153.13
e	15	5	152.4
e	15	6	156.94
e	15	8	158.33
e	16	1	153.93
e	16	2	166.71
e	16	3	163.41
e	16	4	154.31
e	16	5	157.73
e	16	6	158.21
e	16	8	159.61
e	17	1	156
e	17	2	166.05
e	17	3	170.24
e	17	4	157.93
e	17	5	157.37
e	17	6	161.85
e	17	8	162.63
e	18	1	154
e	18	2	162.34
e	18	3	166.35
e	18	4	161.03
e	18	5	157.11
e	18	6	159.52
e	18	8	166.33
e	19	1	160.22
e	19	2	166.51
e	19	3	170.67
e	19	4	163.16
e	19	5	162.55
e	19	6	163.03
e	19	8	168
e	20	1	162.11
e	20	2	186.44
e	20	3	168.01
e	20	4	162.56
e	20	5	163.8
e	20	6	163.92
e	20	8	168.11
e	21	1	166.65
e	21	2	186.56
e	21	3	172.78
e	21	4	168.51
e	21	5	169.54
e	21	6	170.08
e	21	8	173.55
f	1	1	79.14
f	1	2	73.41
f	1	3	66.83
f	1	4	67.21
f	1	5	69.53
f	1	6	68.47
f	1	7	68.84
f	1	8	68.3
f	2	1	80.93
f	2	2	70.03
f	2	3	67.47
f	2	4	67.2
f	2	5	68.63
f	2	6	69.4
f	2	7	68.59
f	2	8	68.47
f	3	1	80.04
f	3	2	71.66
f	3	3	68.76
f	3	4	69.74
f	3	5	70.49
f	3	6	70.03
f	3	7	68.98
f	3	8	69.42
f	4	1	79.81
f	4	2	75.62
f	4	3	69.79
f	4	4	69.38
f	4	5	69.09
f	4	6	69.63
f	4	7	69.83
f	4	8	69.11
f	5	1	77.39
f	5	2	69.73
f	5	3	68.27
f	5	4	69.57
f	5	5	68.4
f	5	6	70.18
f	5	7	69.58
f	5	8	68.95
f	6	1	77.29
f	6	2	68.75
f	6	3	67.89
f	6	4	67.53
f	6	5	70.75
f	6	6	69.57
f	6	7	68.23
f	6	8	70.17
f	7	1	77.4
f	7	2	70.15
f	7	3	69.44
f	7	4	69.71
f	7	5	70.5
f	7	6	70.37
f	7	7	69.23
f	7	8	68.56
f	8	1	74.17
f	8	2	70
f	8	3	69.42
f	8	4	69.19
f	8	5	69.02
f	8	6	69.46
f	8	7	70.28
f	8	8	70.19
f	9	1	66.55
f	9	2	70.17
f	9	3	69.83
f	9	4	69.57
f	9	5	69.37
f	9	6	70.57
f	9	7	71.05
f	9	8	68.21
f	10	1	66.12
f	10	2	69.35
f	10	3	68.75
f	10	4	70.13
f	10	5	70.68
f	10	6	69.6
f	10	7	68.08
f	10	8	68.24
f	11	1	66.9
f	11	2	69.96
f	11	3	68.4
f	11	4	68.65
f	11	5	70.32
f	11	6	70.05
f	11	7	69.32
f	11	8	69.22
f	12	1	67.31
f	12	2	69.74
f	12	3	70.25
f	12	4	69.84
f	12	5	70.14
f	12	6	70.34
f	12	7	70.04
f	12	8	68.86
f	13	1	67.45
f	13	2	67.83
f	13	3	69.98
f	13	4	68.19
f	13	5	71.02
f	13	6	68.81
f	13	7	70.34
f	13	8	69.38
f	14	1	66.77
f	14	2	69.6
f	14	3	70.9
f	14	4	68.45
f	14	5	70.72
f	14	6	70.28
f	14	7	68.25
f	14	8	69.31
f	15	1	68.46
f	15	2	70.29
f	15	3	68.25
f	15	4	69.76
f	15	5	70.73
f	15	6	70.55
f	15	7	68.02
f	15	8	70.15
f	16	1	71.07
f	16	2	70.21
f	16	3	69.22
f	16	4	70.65
f	16	5	70.25
f	16	6	69.9
f	16	7	68.43
f	16	8	71.04
f	17	1	68.88
f	17	2	68.81
f	17	3	70.64
f	17	4	70.03
f	17	5	69.69
f	17	6	71.83
f	17	7	69.99
f	17	8	69.97
f	18	1	67.65
f	18	2	68.8
f	18	3	68.48
f	18	4	67.96
f	18	5	70.87
f	18	6	69.26
f	18	7	69.43
f	18	8	70.05
f	19	1	71.11
f	19	2	69.76
f	19	3	69.74
f	19	4	71.32
f	19	5	70.23
f	19	6	68.64
f	19	7	68.82
f	19	8	70.47
f	20	1	71.14
f	20	2	79.16
f	20	3	71.49
f	20	4	69.6
f	20	5	70.25
f	20	6	70.99
f	20	7	70.27
f	20	8	70.22
f	21	1	67.68
f	21	2	81.31
f	21	3	70.69
f	21	4	70.63
f	21	5	71.96
f	21	6	70.65
f	21	7	70.35
f	21	8	69.49
g	1	1	95.93
g	1	2	95.95
g	1	3	96.53
g	1	4	95.94
g	1	5	95.44
g	1	6	96.43
g	1	7	97.77
g	1	8	96.69
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
