Comparação;COD_VER_EXEC;U-Value;p-Value;Resultado;Mediana_1;Q1_1;Q3_1;IQR_1;Mediana_2;Q1_2;Q3_2;IQR_2
b>f;2.0;0.0;7.77000777000777e-05;REJEITA H0;25.255;22.669999999999998;26.347499999999997;3.6774999999999984;68.61;68.22;69.5575;1.3375000000000057
b>f;3.0;0.0;0.000465486135787501;REJEITA H0;26.1;26.009999999999998;26.462500000000002;0.4525000000000041;69.88499999999999;69.31;70.7825;1.4724999999999966
b>f;4.0;0.0;7.77000777000777e-05;REJEITA H0;31.205;30.765;31.585;0.8200000000000003;69.71000000000001;69.3125;71.2775;1.9650000000000034
b>f;5.0;0.0;7.77000777000777e-05;REJEITA H0;37.480000000000004;35.83;38.3575;2.5275000000000034;69.57499999999999;68.8125;69.8425;1.0300000000000011
b>f;6.0;0.0;0.000465486135787501;REJEITA H0;42.655;42.457499999999996;42.78;0.3225000000000051;69.16;68.14500000000001;70.315;2.1699999999999875
b>f;7.0;0.0;7.77000777000777e-05;REJEITA H0;45.25;44.8875;46.334999999999994;1.447499999999991;69.93;69.3875;70.4025;1.0150000000000006
b>f;8.0;0.0;7.77000777000777e-05;REJEITA H0;46.92;45.455;48.645;3.190000000000005;69.72999999999999;69.3625;70.2125;0.8500000000000085
b>f;9.0;0.0;7.77000777000777e-05;REJEITA H0;48.894999999999996;47.6925;49.995000000000005;2.302500000000002;69.69999999999999;69.08;70.27;1.1899999999999977
b>f;10.0;0.0;7.77000777000777e-05;REJEITA H0;49.37;48.855000000000004;51.5;2.644999999999996;69.05;68.19999999999999;69.73249999999999;1.5324999999999989
b>f;11.0;8.0;0.0067592349201304166;REJEITA H0;52.315;52.2025;52.8175;0.615000000000002;69.27;68.5875;69.98249999999999;1.3949999999999818
b>f;12.0;8.0;0.005205905205905206;REJEITA H0;56.2;55.802499999999995;58.5525;2.750000000000007;69.94;69.52;70.1675;0.647500000000008
b>f;13.0;8.0;0.0067592349201304166;REJEITA H0;59.39;59.06;60.397499999999994;1.3374999999999915;69.095;68.1;70.07000000000001;1.970000000000013
b>f;14.0;8.0;0.005205905205905206;REJEITA H0;62.980000000000004;62.739999999999995;63.1775;0.4375000000000071;69.455;68.4;70.39;1.9899999999999949
b>f;15.0;8.0;0.005205905205905206;REJEITA H0;65.53999999999999;65.19500000000001;66.0475;0.852499999999992;69.95500000000001;68.4075;70.355;1.9475000000000051
b>f;16.0;53.0;0.9896658896658896;NÃO REJEITA H0;71.2;70.73249999999999;71.85249999999999;1.1200000000000045;70.22999999999999;69.73;70.7475;1.0174999999999983
b>f;17.0;64.0;1.0;NÃO REJEITA H0;74.91;74.595;75.48249999999999;0.8874999999999886;69.97999999999999;69.4875;70.1825;0.6950000000000074
b>f;18.0;64.0;1.0;NÃO REJEITA H0;78.72;78.3375;80.67999999999999;2.342499999999987;69.03;68.35;69.58500000000001;1.2350000000000136
b>f;19.0;64.0;1.0;NÃO REJEITA H0;83.075;82.2775;84.06;1.7824999999999989;69.995;69.50999999999999;70.63;1.1200000000000045
b>f;20.0;64.0;1.0;NÃO REJEITA H0;88.29499999999999;87.705;88.965;1.2600000000000051;70.63;70.2425;71.22749999999999;0.9849999999999852
b>f;21.0;64.0;1.0;NÃO REJEITA H0;94.055;93.14500000000001;96.2475;3.102499999999992;70.64;70.13499999999999;71.0075;0.8725000000000023
a>f;1.0;64.0;1.0;NÃO REJEITA H0;125.11500000000001;118.4675;127.295;8.8275;68.655;68.0275;70.5;2.4724999999999966
b>d;2.0;8.0;0.005205905205905206;REJEITA H0;25.255;22.669999999999998;26.347499999999997;3.6774999999999984;26.805;26.3825;27.252499999999998;0.8699999999999974
b>d;3.0;0.0;0.000465486135787501;REJEITA H0;26.1;26.009999999999998;26.462500000000002;0.4525000000000041;32.035;31.135;32.6425;1.5074999999999967
b>d;4.0;0.0;7.77000777000777e-05;REJEITA H0;31.205;30.765;31.585;0.8200000000000003;36.475;36.214999999999996;36.7875;0.5725000000000051
b>d;5.0;2.0;0.0003108003108003108;REJEITA H0;37.480000000000004;35.83;38.3575;2.5275000000000034;40.625;39.93;41.4225;1.4924999999999997
b>d;6.0;6.0;0.0036810312613196807;REJEITA H0;42.655;42.457499999999996;42.78;0.3225000000000051;45.67;44.815;45.9525;1.1375000000000028
b>d;7.0;9.0;0.007381507381507382;REJEITA H0;45.25;44.8875;46.334999999999994;1.447499999999991;47.75;47.195;48.7525;1.5574999999999974
b>d;8.0;7.0;0.0034965034965034965;REJEITA H0;46.92;45.455;48.645;3.190000000000005;52.375;50.6125;52.9725;2.3599999999999994
b>d;9.0;7.0;0.0034965034965034965;REJEITA H0;48.894999999999996;47.6925;49.995000000000005;2.302500000000002;56.32;55.0225;56.5725;1.5499999999999972
b>d;10.0;5.0;0.0014763014763014763;REJEITA H0;49.37;48.855000000000004;51.5;2.644999999999996;54.335;54.0225;56.82;2.7974999999999994
b>d;11.0;8.0;0.0067592349201304166;REJEITA H0;52.315;52.2025;52.8175;0.615000000000002;59.17;58.535;59.715;1.1800000000000068
b>d;12.0;13.0;0.02494172494172494;REJEITA H0;56.2;55.802499999999995;58.5525;2.750000000000007;63.12;62.36;64.125;1.7650000000000006
b>d;13.0;8.0;0.0067592349201304166;REJEITA H0;59.39;59.06;60.397499999999994;1.3374999999999915;67.69;67.0425;68.10249999999999;1.059999999999988
b>d;14.0;5.0;0.0014763014763014763;REJEITA H0;62.980000000000004;62.739999999999995;63.1775;0.4375000000000071;71.49000000000001;70.6925;72.21000000000001;1.5175000000000125
b>d;15.0;3.0;0.0005439005439005439;REJEITA H0;65.53999999999999;65.19500000000001;66.0475;0.852499999999992;77.665;75.2825;78.3625;3.0799999999999983
b>d;16.0;4.0;0.0009324009324009324;REJEITA H0;71.2;70.73249999999999;71.85249999999999;1.1200000000000045;81.015;80.37;81.85;1.4799999999999898
b>d;17.0;2.0;0.0003108003108003108;REJEITA H0;74.91;74.595;75.48249999999999;0.8874999999999886;87.04499999999999;85.33;88.655;3.325000000000003
b>d;18.0;5.0;0.0014763014763014763;REJEITA H0;78.72;78.3375;80.67999999999999;2.342499999999987;90.7;89.83500000000001;92.5175;2.6824999999999903
b>d;19.0;4.0;0.0009324009324009324;REJEITA H0;83.075;82.2775;84.06;1.7824999999999989;96.775;94.88499999999999;97.915;3.0300000000000153
b>d;20.0;3.0;0.0005439005439005439;REJEITA H0;88.29499999999999;87.705;88.965;1.2600000000000051;101.435;99.28;103.2825;4.002499999999998
b>d;21.0;1.0;0.0001554001554001554;REJEITA H0;94.055;93.14500000000001;96.2475;3.102499999999992;107.495;106.285;109.005;2.719999999999999
g>a;1.0;0.0;7.77000777000777e-05;REJEITA H0;96.19;95.9375;96.57;0.6324999999999932;125.11500000000001;118.4675;127.295;8.8275
f>e;1.0;2.0;0.0006216006216006216;REJEITA H0;68.655;68.0275;70.5;2.4724999999999966;81.33;79.27;83.56;4.290000000000006
f>e;2.0;0.0;0.0001554001554001554;REJEITA H0;68.61;68.22;69.5575;1.3375000000000057;86.61;85.14500000000001;88.00999999999999;2.8649999999999807
f>e;3.0;0.0;0.0001554001554001554;REJEITA H0;69.88499999999999;69.31;70.7825;1.4724999999999966;95.07;93.725;95.25;1.5250000000000057
f>e;4.0;0.0;0.0001554001554001554;REJEITA H0;69.71000000000001;69.3125;71.2775;1.9650000000000034;104.35;102.48;105.015;2.5349999999999966
f>e;5.0;0.0;0.0001554001554001554;REJEITA H0;69.57499999999999;68.8125;69.8425;1.0300000000000011;107.89;106.975;108.225;1.25
f>e;6.0;0.0;0.0001554001554001554;REJEITA H0;69.16;68.14500000000001;70.315;2.1699999999999875;118.32;116.0;128.04000000000002;12.04000000000002
f>e;7.0;0.0;0.0001554001554001554;REJEITA H0;69.93;69.3875;70.4025;1.0150000000000006;120.66;118.565;121.205;2.6400000000000006
f>e;8.0;0.0;0.0001554001554001554;REJEITA H0;69.72999999999999;69.3625;70.2125;0.8500000000000085;124.08;121.475;128.095;6.6200000000000045
f>e;9.0;0.0;0.0001554001554001554;REJEITA H0;69.69999999999999;69.08;70.27;1.1899999999999977;128.15;126.925;132.69;5.765000000000001
f>e;10.0;0.0;0.0001554001554001554;REJEITA H0;69.05;68.19999999999999;69.73249999999999;1.5324999999999989;130.99;129.89499999999998;132.985;3.090000000000032
f>e;11.0;0.0;0.0001554001554001554;REJEITA H0;69.27;68.5875;69.98249999999999;1.3949999999999818;136.49;135.855;139.175;3.3200000000000216
f>e;12.0;0.0;0.0001554001554001554;REJEITA H0;69.94;69.52;70.1675;0.647500000000008;139.81;137.425;142.14;4.714999999999975
f>e;13.0;0.0;0.0001554001554001554;REJEITA H0;69.095;68.1;70.07000000000001;1.970000000000013;146.9;141.475;149.44;7.965000000000003
f>e;14.0;0.0;0.0001554001554001554;REJEITA H0;69.455;68.4;70.39;1.9899999999999949;150.79;147.625;152.37;4.7450000000000045
f>e;15.0;0.0;0.0001554001554001554;REJEITA H0;69.95500000000001;68.4075;70.355;1.9475000000000051;156.94;152.765;160.955;8.190000000000026
f>e;16.0;0.0;0.0001554001554001554;REJEITA H0;70.22999999999999;69.73;70.7475;1.0174999999999983;158.21;156.01999999999998;161.51;5.490000000000009
f>e;17.0;0.0;0.0001554001554001554;REJEITA H0;69.97999999999999;69.4875;70.1825;0.6950000000000074;161.85;157.65;164.34;6.689999999999998
f>e;18.0;0.0;0.0001554001554001554;REJEITA H0;69.03;68.35;69.58500000000001;1.2350000000000136;161.03;158.315;164.335;6.02000000000001
f>e;19.0;0.0;0.0001554001554001554;REJEITA H0;69.995;69.50999999999999;70.63;1.1200000000000045;163.16;162.79000000000002;167.255;4.464999999999975
f>e;20.0;0.0;0.0001554001554001554;REJEITA H0;70.63;70.2425;71.22749999999999;0.9849999999999852;163.92;163.18;168.06;4.8799999999999955
f>e;21.0;0.0;0.0001554001554001554;REJEITA H0;70.64;70.13499999999999;71.0075;0.8725000000000023;170.08;169.02499999999998;173.16500000000002;4.140000000000043
